pid,block_number,tonic_avg,amplitude_avg,peaks_num,tonic_avg_norm,amplitude_avg_norm
1,1.0,151865.00985115796,2.6617528717483987,54,0.29349896075130666,0.27678495581938944
1,6.0,199251.84884865783,2.9414569556810615,34,0.4076729458942001,0.3070312588805841
1,4.0,220643.84852499652,3.8502133036992436,29,0.4592148909762921,0.40530125738929235
1,2.0,232955.99346628424,2.804166754306989,15,0.4888798081419613,0.29218513657980155
1,7.0,242687.62016172372,4.719597688215225,28,0.5123272172801803,0.4993136979694272
1,3.0,226063.67872403018,3.3473013321310208,25,0.4722734453283586,0.35091796883917814
1,5.0,194949.51928329308,1.0139045046707036,21,0.39730690075872055,0.09859191548635782
2,1.0,302654.25675739744,9.349717381314758,47,0.6568110026642395,1.0
2,7.0,333180.09691978456,8.723983817396972,37,0.730360049085306,0.9323351781507234
2,6.0,337212.57180014695,8.21035180866251,36,0.7400759055724603,0.876792659143912
2,4.0,319133.7166378332,5.804499713837273,32,0.6965166603395923,0.6166315254294232
2,2.0,329416.26738392323,7.711884876658643,34,0.7212914674580216,0.8228900429239697
2,5.0,328342.7178055138,5.795649451500084,35,0.7187048540394321,0.6156744864292844
2,3.0,360076.2052131736,7.778548674757678,37,0.7951636091804006,0.8300988523634455
3,2.0,125279.06905129475,1.7103229837774157,47,0.22944271910046407,0.1739003774877525
3,4.0,109073.88261047889,1.0334919695105387,27,0.19039789663342538,0.10071004114765054
3,5.0,69902.85007963094,0.4923676895130993,40,0.09601909904271062,0.04219459605134814
3,1.0,141854.91855701403,1.9216595309067317,47,0.269380618214112,0.1967536342672231
3,6.0,155820.9723253686,1.6205052152050812,28,0.30303046802867967,0.16418777190000897
3,7.0,148980.28444281206,1.5297652100400951,26,0.2865484951181973,0.1543754386033122
3,3.0,140819.53603820672,1.3362357162039629,25,0.2668859646178729,0.13344777948748585
5,3.0,76694.07906941677,0.38658154562323754,31,0.11238190555577438,0.030755221542471844
5,2.0,160497.42455040835,1.6288397095713656,37,0.31429792536828627,0.16508903740503872
5,5.0,173275.05994451634,1.7222402789095552,34,0.34508439655968953,0.17518907558314095
5,6.0,135453.38964658565,0.6422686253083932,29,0.25395675618462293,0.05840440274946078
5,7.0,98448.20693394929,0.3098940981414754,30,0.1647963633281694,0.022462486788977026
5,1.0,90894.98044701248,0.5043969424235417,48,0.14659759787040313,0.04349540090200807
5,4.0,75179.62590853889,0.2450094323467728,68,0.10873297778705779,0.015446067013985938
6,3.0,253723.2868174623,2.172061369094374,44,0.538916584021032,0.22383128640020722
6,6.0,258766.08378947337,2.5992760768543564,48,0.5510667134396962,0.27002891548530467
6,2.0,270956.1187374624,3.066863389828628,48,0.5804374184389572,0.3205923086862215
6,4.0,264027.35762050474,3.0684224141225136,37,0.5637432416261101,0.320760896576
6,1.0,253012.93300035308,2.6765197873188282,33,0.5372050555064354,0.2783818027346809
6,5.0,238400.7824633936,3.2676046748743706,34,0.5019984982933544,0.342299827786475
6,7.0,233493.25413462747,3.8962562657727564,46,0.4901742855298393,0.4102801957198668
7,1.0,52670.35870983294,0.28800617536999024,46,0.05449908514741447,0.02009559698094068
7,6.0,77779.662669865,1.0891561506442329,37,0.11499751378141453,0.10672938726713113
7,3.0,83968.94569891243,0.6467173672841174,20,0.12990998997846379,0.05888547544653018
7,2.0,86216.48078941683,0.33171056685362754,21,0.13532520744095206,0.024821649784078963
7,4.0,84245.06928265472,0.32410086098426955,44,0.1305752829293073,0.02399876058383917
7,7.0,98905.97894762113,0.3060027914902682,17,0.16589932052458756,0.022041693361074165
7,5.0,96468.18857054386,0.15982962573598095,21,0.1600257014315606,0.006234995766044462
9,1.0,36557.871755065935,0.15768763203675293,25,0.015677613086665907,0.006003367433447012
9,7.0,30051.025854284344,0.28911899813194764,97,0.0,0.02021593406732967
9,4.0,35948.556772148964,0.21848890081944208,55,0.014209527827580046,0.012578221744652207
9,2.0,45062.45557819511,0.10217121453983863,15,0.036168581625835035,0.0
9,6.0,44146.74805110199,0.20739344558700326,6,0.03396227329623571,0.011378394781657076
9,5.0,52188.38185915665,0.2210481848194953,17,0.05333780874762684,0.012854974512780943
9,3.0,47510.370571559964,0.10938012990291078,18,0.042066594998245256,0.0007795489996008596
11,4.0,171451.64790033278,3.5664676976223455,42,0.3406910623756354,0.37461791707828584
11,6.0,214390.03583043124,5.9679241678378485,42,0.44414693681894885,0.6343037220373987
11,1.0,207187.5531914848,3.904419245885226,28,0.4267932545897036,0.41116291422326806
11,7.0,205558.18494889798,4.018159006829982,24,0.4228674500951007,0.42346236738560056
11,3.0,201073.1946768488,3.4692874256177904,26,0.41206130173154387,0.3641091539694614
11,5.0,211087.6896521401,3.681087476479541,26,0.436190254510665,0.38701253255682305
11,2.0,219722.19655535958,3.945635737025082,30,0.4569942600898597,0.4156199334580507
12,1.0,38098.39641790943,0.28280716506953163,3,0.01938935760663767,0.019533392672176273
12,6.0,68036.51688698296,0.20409912925745582,64,0.09152235052103098,0.01102215797352051
12,7.0,78801.21342481997,0.14261958788360762,65,0.11745884108634604,0.004373957438470985
12,5.0,43934.58757008984,0.7456560545918255,467,0.03345109322768823,0.0695843879497389
12,4.0,54640.27661090502,0.611217795475629,349,0.05924541096124625,0.055046665542987004
12,2.0,84740.98071276661,0.2586569157773553,92,0.13177013334456236,0.016921862125949354
12,3.0,88428.66334978622,0.12539060143747097,44,0.14065524641642177,0.0025108700707065622
13,5.0,67777.86383287326,0.3341393260896763,68,0.09089915111415256,0.025084288022617845
13,6.0,83714.31907705682,0.49659493416199896,49,0.12929649186895154,0.04265171673749162
13,4.0,97566.99451492459,0.299208839250284,30,0.16267316761041395,0.021307017143463718
13,3.0,104901.62708158355,0.45703869874944264,39,0.18034525225270215,0.03837423223520538
13,1.0,112705.39629620602,0.858996854034187,33,0.19914767607371042,0.08184069869405057
13,2.0,116571.48359265323,0.9342940143040657,28,0.20846263784123795,0.08998309224493765
13,7.0,114796.03671247966,0.520684252872195,36,0.20418487106026256,0.045256658445892654
14,4.0,58117.56283722415,0.2512264406225183,38,0.06762359432060251,0.016118354360664163
14,5.0,65566.9313085677,0.25482583369639467,39,0.08557212397914316,0.016507581190026578
14,6.0,65341.95253646326,0.1669281659215433,44,0.08503005948344902,0.007002609147750668
14,1.0,72094.74580583944,0.1742504567997524,10,0.10130025886204579,0.007794418212139773
14,2.0,75821.57587378511,0.20122690031943305,10,0.11027969386572196,0.01071156434292667
14,3.0,64361.4539592764,0.941068766380803,464,0.08266764341281248,0.09071569221843957
14,7.0,61365.296771467394,0.4951946663119582,281,0.07544869373219067,0.04250029626066592
18,4.0,192115.99337131117,4.033380711089914,53,0.3904797953382958,0.425108393691976
18,7.0,210701.51769678984,3.3251147405787327,51,0.43525981069914405,0.3485187819465513
18,5.0,199625.98751010324,3.715873231026091,38,0.4085743966530385,0.39077415254976017
18,1.0,204899.9202974161,3.4840108713664018,31,0.42128142536485125,0.3657013001975614
18,6.0,203693.19516416456,3.0238000378065433,36,0.41837393838428505,0.3159355758356406
18,2.0,194847.9850952829,2.533881761686442,43,0.3970622639963068,0.2629573838607461
18,3.0,199956.200329486,4.1676559102715665,36,0.40937001236262804,0.4396284833200855
19,3.0,141871.7855894141,3.3341125177729074,19,0.2694212576901225,0.3494917727304743
19,6.0,159336.07399703268,3.04559819094224,25,0.31149976402999147,0.3182927582430141
19,2.0,138483.32689004467,1.848916927189217,10,0.2612570956277506,0.18888748227342517
19,4.0,146317.20564373917,2.9849257556618265,8,0.2801320654581445,0.3117318355737767
19,1.0,135062.73557948184,2.758796784763616,11,0.2530155131602491,0.2872789735041978
19,7.0,167378.6787436988,4.935789586822738,22,0.3308776388636446,0.5226919968942013
19,5.0,178587.75791453125,4.746382399504335,21,0.357884826213357,0.5022101107913868
20,4.0,111461.96061061886,1.39227196594307,47,0.1961517385835592,0.13950735991331137
20,6.0,194830.69732399093,2.0944436860133977,41,0.39702061079080925,0.21543795895082987
20,7.0,243301.49246765816,3.071873330272642,41,0.513806282966353,0.32113406758676255
20,3.0,258924.15244720035,2.5360086857964195,32,0.5514475645148191,0.2631873826162667
20,2.0,256615.86145695156,2.09297041736635,31,0.5458859616140633,0.21527864440181568
20,5.0,252248.34228616473,2.667246102283569,22,0.5353628484572008,0.27737897616122964
20,1.0,245597.34088284738,2.4564591239611526,30,0.5193379066912438,0.2545851479909261
22,1.0,33405.44175968477,0.3167192798077991,5,0.00808213925741027,0.02320054005664771
22,3.0,68432.86469093878,0.7928208361037614,25,0.09247731205122836,0.07468463623845707
22,4.0,79192.4797566478,0.524437148094979,21,0.11840155930309354,0.045662484505595666
22,5.0,84335.62362854888,0.6012194511035355,27,0.1307934648287856,0.05396547663170411
22,6.0,94292.29103085658,1.0032439737820156,41,0.15478308768849536,0.09743911984777104
22,7.0,102620.6284501218,1.1308239854999858,42,0.17484940763911205,0.11123521336459462
22,2.0,90146.92646201204,0.6895085199804197,23,0.1447952344636769,0.06351277353454023
23,3.0,196662.17338081932,0.6292281078475209,40,0.401433374429948,0.056994242991867464
23,6.0,313408.1958831929,1.097706140838272,39,0.6827215742902754,0.10765395580021485
23,4.0,346583.0331930598,1.255058250523815,32,0.7626531219998512,0.12466950855851155
23,5.0,375220.87338012655,0.7017293123823546,37,0.8316532158912211,0.06483429085184138
23,7.0,404078.5684767533,1.3348999549810407,47,0.9011830288292447,0.13330333455054447
23,2.0,443481.87032910896,2.6163043201124583,44,0.9961214567861962,0.2718702951281857
23,1.0,445091.6232214806,1.6596102320803945,34,1.0,0.1684164630760327
