,PId,BlockNumber,EDATonic,EDAPhasic
0,1,1,-0.6143541268919009,-0.002615351282469098
1,1,6,-0.12533718560646337,-0.0040210293196150226
2,1,4,0.1188265784307912,-0.00013638883830046408
3,1,2,0.2439681060782743,0.00030146902131731923
4,1,7,0.3474848103220076,0.0003727572310049585
5,1,3,0.16899443650534296,-0.0003621635626103771
6,1,5,-0.2227930093528434,0.000695889880473773
7,2,1,-0.3111540864384135,0.0015404367721919892
8,2,7,0.050111617771177584,-0.002718124587727968
9,2,6,0.0435946142713827,-0.0045224753308202
10,2,4,-0.16654812984946812,-0.008473777407280576
11,2,2,-0.013409917567956543,-0.0013701475083254097
12,2,5,-0.047958828004942645,-0.006391224989871318
13,2,3,0.39779174414342827,0.009320789123214882
14,3,2,-0.02229868329253071,-0.0013837427712268021
15,3,4,-0.11475631190444306,-0.004730936349543387
16,3,5,-0.6381853524006821,-0.00687250667664116
17,3,1,0.16897961332302616,-0.0036078040813889776
18,3,6,0.3157589289060398,-0.0017013056571668762
19,3,7,0.2309250096264562,0.00020716536196322725
20,3,3,0.13487143087202524,-0.00010233800973225035
21,5,3,-0.2836303336287607,-0.0022622253263172945
22,5,2,0.386335126721653,0.00023077225596763006
23,5,5,0.47348687120114424,0.0013505386630983296
24,5,6,0.13531723405007134,0.00040799563538262393
25,5,7,-0.15957387552777608,-0.0015481830557627187
26,5,1,-0.20944717870050758,-0.0023261162235823775
27,5,4,-0.3548741364418249,-0.001707765322019957
28,6,3,-0.054790952817540955,-0.0013895492597606706
29,6,6,0.060521896711834056,-0.0007502191851076626
30,6,2,0.20469534151346716,-0.001987029308046011
31,6,4,0.0598154692866277,-0.005195230796786398
32,6,1,-0.07108767746085445,0.0006325914717850438
33,6,5,-0.32293310963111943,-0.002600841300153841
34,6,7,-0.3588460466491688,0.0058475369451941655
35,7,1,-0.5198119332698674,-0.002586962272209364
36,7,6,-0.11086583813587464,0.001387506886612479
37,7,3,-0.04094055846048952,-0.0073212850354417115
38,7,2,-0.04052645362898959,-0.003953647333913185
39,7,4,-0.05852471545408017,-0.0036542606538665515
40,7,7,0.18098639443969267,-0.0015129815817241253
41,7,5,0.16085750849543437,0.007741849645813337
42,9,1,-0.271856937562243,-0.0006940092383304222
43,9,7,-0.4281840099528393,0.0006403367208633612
44,9,4,-0.29599758141948357,0.002319973161495818
45,9,2,0.028513171789440343,0.0015440668406030988
46,9,6,-0.03338789938350112,-0.004086455209154688
47,9,5,0.2927016501529722,0.003606542184720964
48,9,3,0.14706482776714805,0.009787880566845708
49,11,4,-0.6280026011260944,0.0005974951447863637
50,11,6,0.16367562679919528,-0.004704435653095004
51,11,1,-0.01985273518733802,-0.0024364735506729935
52,11,7,-0.013643226522716196,-0.003221747578832898
53,11,3,-0.10044927421575955,-0.0012910537577408739
54,11,5,0.10326433800691517,-0.005715466467090172
55,11,2,0.205940324406275,0.003966697194762725
56,12,1,-0.3594716387665384,-0.0008749967712980527
57,12,6,0.036726282547997584,2.074121046109656e-05
58,12,7,0.22875631950633307,0.0008242376581892476
59,12,5,-0.3506735886108932,-0.0003590295653731456
60,12,4,-0.1793163632957252,-0.0003993081322743061
61,12,2,0.3253453756795639,0.00015933341285218714
62,12,3,0.38852913951162354,0.0017972963443597916
63,13,5,-0.6214905393729656,-0.0058421014393847314
64,13,6,-0.3114517075009934,-0.010318314060678445
65,13,4,-0.05105007699950646,-0.002563635044520169
66,13,3,0.08156080835267214,-0.0026865954545423447
67,13,1,0.21108428049723937,-0.0055082768872806815
68,13,2,0.28748090444602636,0.00033250945748468423
69,13,7,0.2519730028430038,-0.00660017713518863
70,14,4,-0.2414960079642182,0.001625858320754683
71,14,5,-0.07357998075765193,0.0007090299146602267
72,14,6,-0.1548019715119472,-0.0005634749841216562
73,14,1,0.019443051765105485,-0.004428274058090433
74,14,2,0.17043589995362368,-0.003109980152896326
75,14,3,-0.18572344756457912,-0.0012462492660759114
76,14,7,-0.19426224832269168,-0.0005188296559082602
77,17,1,-0.6018882095316157,-0.006969997510362026
78,17,7,-0.08753356457620393,0.008603074284775377
79,17,3,-0.014032014743503926,-0.0009216110162802498
80,17,4,0.06052386224276489,0.0007372522832590239
81,17,5,0.3258948787519583,-0.0015514885419356428
82,17,6,0.18854468391601498,-0.002647577531726494
83,17,2,0.2324891897706775,-0.001393754657288354
84,18,4,-0.17529170172395658,-0.0011423011893319252
85,18,7,0.26124983838443355,-0.0008669488856925539
86,18,5,-0.04508291372375289,-0.0002273796359436924
87,18,1,0.07554676141974176,-0.006676651185188172
88,18,6,0.10252358228854452,-0.002763172726483935
89,18,2,-0.19576053830033474,-0.0008832214839225461
90,18,3,-0.04767707293961942,7.322326891300086e-05
91,19,3,-0.07144840486228711,0.0013043721915365356
92,19,6,0.07501265841944663,-0.0009140335564553203
93,19,2,-0.21152793322328192,-0.000948432436397845
94,19,4,-0.12375846094579125,-0.006783034969797496
95,19,1,-0.2895246157498738,-0.0013633129882734385
96,19,7,0.2067513854085988,-0.0016107307488758885
97,19,5,0.3056834376541442,-0.0039300821433851385
98,20,4,-0.6916016393278661,-0.0015850652036756333
99,20,6,-0.1709114587299517,-0.0011081033179756409
100,20,7,0.1507021066259222,0.006795063053051527
101,20,3,0.24278140742864948,-0.0005079299486041979
102,20,2,0.20949882269796763,-0.003429006265262236
103,20,5,0.1845999235250162,-0.003678860106818465
104,20,1,0.13976260686142336,0.0013752854759604167
105,22,1,-0.6897793701139584,-0.0007400341038029351
106,22,3,-0.16664839700464026,0.0035583980725167282
107,22,4,0.013391722089041753,-0.006422288393094736
108,22,5,0.07663010399694407,-0.0014609830167565494
109,22,6,0.22741724819660464,5.137547661141174e-05
110,22,7,0.3723995136093266,0.001608594162644874
111,22,2,0.1721522627373405,0.0011785609320634583
112,23,3,-0.6375070830708766,-0.0003688613096416361
113,23,6,-0.19437819322087113,0.004588278759194562
114,23,4,-0.05022023361132435,-0.0016938906495115671
115,23,5,0.06013662699958049,-0.0016794188228948688
116,23,7,0.1821609824931783,0.0001330656813108046
117,23,2,0.3462574830958649,-0.00034472856293463194
118,23,1,0.3371675582620646,0.0017090922760125016
